region,offense,incident_count,offense_count,year
Northeast,fondling,2549,2756,2011
Northeast,fondling,2055,2323,2005
Northeast,fondling,2717,2935,2010
Northeast,fondling,2445,2645,2013
Northeast,fondling,3488,3684,2019
Northeast,fondling,421,475,1999
Northeast,fondling,977,1087,2002
Northeast,fondling,154,207,1994
Northeast,fondling,578,636,2000
Northeast,fondling,2738,2966,2012
Northeast,gambling-equipment-violation,2,2,2010
Northeast,gambling-equipment-violation,10,10,2013
Northeast,gambling-equipment-violation,8,8,2019
Northeast,gambling-equipment-violation,5,5,1999
Northeast,gambling-equipment-violation,4,4,2002
Northeast,gambling-equipment-violation,9,9,2012
Northeast,gambling-equipment-violation,4,4,2000
Northeast,gambling-equipment-violation,5,5,2001
Northeast,gambling-equipment-violation,7,7,2011
Northeast,gambling-equipment-violation,5,5,2005
Northeast,gambling-equipment-violation,11,11,2015
Northeast,gambling-equipment-violation,9,9,2014
Northeast,gambling-equipment-violation,1,1,1995
Northeast,gambling-equipment-violation,5,5,2018
Northeast,gambling-equipment-violation,13,13,2004
Northeast,gambling-equipment-violation,6,6,2016
Northeast,gambling-equipment-violation,10,10,2008
Northeast,gambling-equipment-violation,9,9,2009
Northeast,gambling-equipment-violation,2,2,1996
Northeast,gambling-equipment-violation,4,4,2006
Northeast,gambling-equipment-violation,6,6,2003
Northeast,gambling-equipment-violation,11,11,2017
Northeast,gambling-equipment-violation,3,3,2007
Northeast,gambling-equipment-violation,2,2,1998
Northeast,gambling-equipment-violation,4,4,1997
Northeast,hacking-computer-invasion,242,242,2019
Northeast,hacking-computer-invasion,87,87,2017
Northeast,hacking-computer-invasion,1,1,2006
Northeast,hacking-computer-invasion,201,201,2018
Northeast,hacking-computer-invasion,22,22,2016
Northeast,human-trafficking-commerical-sex-acts,37,43,2017
Northeast,human-trafficking-commerical-sex-acts,12,15,2016
Northeast,human-trafficking-commerical-sex-acts,61,66,2018
Northeast,human-trafficking-commerical-sex-acts,42,46,2019
Northeast,human-trafficking-commerical-involuntary-servitude,14,17,2019
Northeast,human-trafficking-commerical-involuntary-servitude,10,12,2017
Northeast,human-trafficking-commerical-involuntary-servitude,4,8,2016
Northeast,human-trafficking-commerical-involuntary-servitude,11,12,2018
Northeast,human-trafficking-commerical-involuntary-servitude,3,3,2015
Northeast,identity-theft,4795,4795,2019
